Date,Time of day,Articles,CLASS,Ref,Qty,Rate,Amount,Weeday,Month,Profit,
1/1/2023 12:50,Morning,ROBB OINTMENT TIN,ANALGESICS CREAM,30732,1,60,60,Sunday,January,19,
1/1/2023 12:50,Morning,FEXET FEXOFENADINE 120MG TABLET,ANTIALLERGY,30732,1,"1,000","1,000",Sunday,January,328,
1/1/2023 12:50,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30732,1,30,30,Sunday,January,10,
1/1/2023 13:15,Morning,PANDA COLD DROPS,"COUGH,COLD & THROAT",30733,1,400,400,Sunday,January,127,
1/1/2023 13:15,Morning,XYZAL TABLET 5MG,ANTIALLERGY,30733,1,600,600,Sunday,January,190,
1/1/2023 13:15,Morning,NEOFYLIN COUGH SYRUP,"COUGH,COLD & THROAT",30733,1,500,500,Sunday,January,155,
1/1/2023 13:15,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30733,1,100,100,Sunday,January,26,
1/1/2023 13:15,Morning,KISS CONDOM,SEXUAL HEALTH,30733,2,200,400,Sunday,January,146,
1/1/2023 13:15,Morning,SPIRIT MOKO 200ML,ANTISEPTICS,30733,1,850,850,Sunday,January,265,
1/1/2023 13:35,Morning,EXIPLON SYRUP ADULT,"COUGH,COLD & THROAT",30734,1,250,250,Sunday,January,75,
1/1/2023 13:35,Morning,LORATADINE-RETIDINE,ANTIALLERGY,30734,1,150,150,Sunday,January,64,
1/1/2023 13:35,Morning,SWIDAR TABLET,ANTIMALARIAL,30734,1,400,400,Sunday,January,119,
1/1/2023 13:35,Morning,EMCAP EXTRA,ANALGESICS,30734,1,150,150,Sunday,January,73,
1/1/2023 13:35,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30734,1,30,30,Sunday,January,10,
1/1/2023 14:05,Morning,MIST MAG TRISILCATE 200 ML MOKO,GASTROINTESTINAL,30735,1,400,400,Sunday,January,135,
1/1/2023 14:06,Morning,MIST MAG TRISILCATE 200 ML MOKO,GASTROINTESTINAL,30736,1,400,400,Sunday,January,135,
1/1/2023 14:10,Morning,CHIVITA ACTIVE,MINI-MART,30737,1,800,800,Sunday,January,250,
1/1/2023 14:10,Morning,5 ALIVE PULPY 85CL,MINI-MART,30737,1,550,550,Sunday,January,150,
1/1/2023 14:10,Morning,RIBENA 125 ML,MINI-MART,30737,1,200,200,Sunday,January,81,
1/1/2023 14:10,Morning,CAPRI-SUN DRINK 200ML,MINI-MART,30737,1,250,250,Sunday,January,83,
1/1/2023 14:26,Morning,PANADOL TABLET,ANALGESICS,30738,1,200,200,Sunday,January,57,
1/1/2023 14:26,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30738,3,100,100,Sunday,January,40,
1/1/2023 15:01,Morning,CAPRI-SUN DRINK 200ML,MINI-MART,30739,1,250,250,Sunday,January,83,
1/1/2023 15:08,Morning,CAPRI-SUN DRINK 200ML,MINI-MART,30740,1,250,250,Sunday,January,83,
1/1/2023 15:19,Morning,NIFEDIN DEXCEL 20MG RETARD,CARDIOVASCULAR,30741,2,400,800,Sunday,January,194,
1/1/2023 15:19,Morning,ATORVASTATIN 10MG AVSTAT-10,CARDIOVASCULAR,30741,2,950,"1,900",Sunday,January,534,
1/1/2023 15:19,Morning,BONDOMET TABLET,CARDIOVASCULAR,30741,1,400,400,Sunday,January,130,
1/1/2023 15:40,Morning,MIST MAG TRISILCATE 200 ML MOKO,GASTROINTESTINAL,30742,1,400,400,Sunday,January,135,
1/1/2023 15:40,Morning,HOLLANDIA YOGHURT,MINI-MART,30742,1,"1,000","1,000",Sunday,January,240,
1/1/2023 15:40,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30742,3,30,90,Sunday,January,30,
1/1/2023 15:45,Morning,BOSKA TABLETS,ANALGESICS,30743,1,250,250,Sunday,January,100,
1/1/2023 15:55,Morning,JAWACLOX SUSPENSION 100ML,ANTIBIOTICS,30744,1,800,800,Sunday,January,230,
1/1/2023 15:55,Morning,GENTIAN VIOLET PAINT MOKO,ANTISEPTICS,30744,1,350,350,Sunday,January,135,
1/1/2023 15:55,Morning,PARACETAMOL SYRUP EMZOR,ANALGESICS SYRUP,30744,1,300,300,Sunday,January,90,
1/1/2023 15:55,Morning,COTTON WOOL 50G,SURGICAL DEVICES,30744,1,70,70,Sunday,January,25,
1/1/2023 16:00,Morning,QUAKER OATS KEBS 500G,MINI-MART,30745,1,"1,100","1,100",Sunday,January,250,
1/1/2023 16:00,Morning,PEAK MILK SATCHET 14G,MINI-MART,30745,10,900,900,Sunday,January,100,
1/1/2023 16:03,Evening,ATORVASTATIN 10MG AVSTAT-10,CARDIOVASCULAR,i30741,2,950,"-1,900",Sunday,January,-534,
1/1/2023 17:41,Evening,AUGMENTIN 625MG,ANTIBIOTICS,30746,1,"5,000","5,000",Sunday,January,"1,692",
1/1/2023 17:41,Evening,PREDNISOLONE TABLET PERILON,ANALGESICS,30746,1,250,250,Sunday,January,94,
1/1/2023 17:41,Evening,LORATADINE AFRAB TABLETS 10MG,ANTIALLERGY,30746,1,100,100,Sunday,January,41,
1/1/2023 17:41,Evening,VITAMIN C TABLET BY 100 TYONEX CHEWABLE,SUPPLEMENTS,30746,1,400,400,Sunday,January,120,
1/1/2023 17:41,Evening,EM-B-PLEX BY 100,SUPPLEMENTS,30746,1,250,250,Sunday,January,92,
1/1/2023 17:41,Evening,MENTOS MINT LONG,MINI-MART,30746,2,150,300,Sunday,January,80,
1/1/2023 17:52,Evening,AMLODIPINE TABLETS 5MG PHARMAMAX,CARDIOVASCULAR,30747,0.5,650,325,Sunday,January,95,
1/1/2023 17:55,Evening,NEEDLE 21G,SURGICAL DEVICES,30748,10,10,100,Sunday,January,20,
1/1/2023 18:28,Evening,AMLODIPINE TABLETS 10MG PHARMAMAX,CARDIOVASCULAR,30749,0.5,750,375,Sunday,January,115,
1/1/2023 18:28,Evening,LONART DS TABLETS,ANTIMALARIAL,30749,1,"2,250","2,250",Sunday,January,690,
1/1/2023 18:28,Evening,WELL WOMAN PLUS + OMEGA 3,SUPPLEMENTS,30749,1,"10,200","10,200",Sunday,January,"3,100",
1/1/2023 18:28,Evening,WELLMAN PLUS OMEGA 3.6.9,SUPPLEMENTS,30749,1,"9,750","9,750",Sunday,January,"2,805",
1/1/2023 18:28,Evening,MOLFIX BABY DIAPERS SMALL SIZE 4 BY 8,MINI-MART,30749,1,900,900,Sunday,January,230,
1/1/2023 18:31,Evening,NEEDLE 21G,SURGICAL DEVICES,30750,10,10,100,Sunday,January,20,
1/1/2023 18:38,Evening,ERYTHROCARE TAB ERYTHROMYCIN 500MG,ANTIBIOTICS,30751,1,"1,100","1,100",Sunday,January,345,
1/1/2023 18:38,Evening,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30751,3,30,90,Sunday,January,30,
1/1/2023 19:02,Evening,COLIPAN SYRUP 60ML,GASTROINTESTINAL,30752,1,800,800,Sunday,January,224,
1/1/2023 19:02,Evening,CAMOSUNATE CHILDREN POWDER 1-6YEARS,ANTIMALARIAL,30752,1,"1,000","1,000",Sunday,January,317,
1/1/2023 19:02,Evening,REXIFEN IBUPROFEN SYRUP,ANALGESICS SYRUP,30752,1,550,550,Sunday,January,172,
1/1/2023 19:02,Evening,CAMOSUNATE JUNIOR TABLETS 7-13YEARS,ANTIMALARIAL,30752,1,"1,100","1,100",Sunday,January,360,
1/1/2023 19:02,Evening,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30752,1,150,150,Sunday,January,55,
1/1/2023 19:02,Evening,EM-VIT-C WHITE BY 1000,SUPPLEMENTS,30752,2,100,200,Sunday,January,52,
1/1/2023 19:04,Evening,EMGYL TABLET 400MG,ANTIBIOTICS,30753,1,100,100,Sunday,January,30,
1/1/2023 19:27,Evening,AMATEM FORTE SOFTGEL 80/480MG,ANTIMALARIAL,30754,1,"2,100","2,100",Sunday,January,615,
1/1/2023 19:27,Evening,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30754,1,150,150,Sunday,January,55,
1/1/2023 19:27,Evening,DE-DEONS SYRUP 280ML,SUPPLEMENTS,30754,1,"2,250","2,250",Sunday,January,660,
1/1/2023 19:27,Evening,VITAMIN C TABLET BY 100 TYONEX CHEWABLE,SUPPLEMENTS,30754,1,400,400,Sunday,January,120,
1/1/2023 19:33,Evening,MENTOS MINT LONG,MINI-MART,30755,1,150,150,Sunday,January,40,
1/1/2023 19:39,Evening,KACHAM CAPLETS,ANALGESICS,30756,0.5,532,266,Sunday,January,76,
1/1/2023 19:39,Evening,VIJU CHOCOLATE FLAVOR SMALL SIZE,MINI-MART,30757,1,350,350,Sunday,January,100,
1/1/2023 19:52,Evening,CLASSIC WHITE SOAP 75G,MINI-MART,30758,1,250,250,Sunday,January,50,
1/1/2023 20:09,Evening,DAMATOL HAIR AND SCALP TREATMENT 110G,MINI-MART,30759,1,"1,100","1,100",Sunday,January,300,
1/1/2023 20:22,Evening,EMBACEF CEFUROXIME TABLET 250MG,ANTIBIOTICS,30760,1,"1,100","1,100",Sunday,January,340,
1/1/2023 20:22,Evening,MENTOS MINT LONG,MINI-MART,30760,1,150,150,Sunday,January,40,
1/1/2023 20:30,Evening,VENTOLIN INHALER,ASTHMATICS,30761,1,"1,750","1,750",Sunday,January,594,
1/1/2023 20:38,Evening,LONART DS TABLETS,ANTIMALARIAL,30762,1,"2,250","2,250",Sunday,January,690,
1/1/2023 20:38,Evening,SOREPILS LOZENGES ORANGE,"COUGH,COLD & THROAT",30762,1,500,500,Sunday,January,150,
1/1/2023 20:38,Evening,IBUNOVA INBUPROFEN 400MG CAPSULES,ANALGESICS,30762,1,600,600,Sunday,January,200,
1/1/2023 20:38,Evening,COFLIN LINCTUS,"COUGH,COLD & THROAT",30762,1,550,550,Sunday,January,178,
1/1/2023 20:38,Evening,CENOX TABLETS 500MG BY 14,ANTIBIOTICS,30762,1,"1,000","1,000",Sunday,January,324,
1/1/2023 20:40,Evening,VITAMIN A CAPSULES 200000IU CLARION,SUPPLEMENTS,30763,1,450,450,Sunday,January,150,
1/2/2023 8:55,Morning,ROPHEGAN SYRUP 60ML,ANTIALLERGY,30764,1,350,350,Monday,January,115,
1/2/2023 8:55,Morning,NORMAL SALINE NASAL DROP,"COUGH,COLD & THROAT",30764,1,"1,300","1,300",Monday,January,373,
1/2/2023 8:55,Morning,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30764,1,150,150,Monday,January,55,
1/2/2023 8:55,Morning,EMGYL TABLET 400MG,ANTIBIOTICS,30764,1,100,100,Monday,January,30,
1/2/2023 9:46,Morning,OCEANIC COD LIVER OIL 1000MG,SUPPLEMENTS,30765,2,450,900,Monday,January,276,
1/2/2023 9:46,Morning,BUNTO CAPSULES,SUPPLEMENTS,30765,2,500,500,Monday,January,130,
1/2/2023 9:50,Morning,IBUNOVA INBUPROFEN 400MG CAPSULES,ANALGESICS,30766,1,600,600,Monday,January,200,
1/2/2023 9:50,Morning,TOUCH AND GO SOLUTION,ANALGESICS SYRUP,30766,1,"1,200","1,200",Monday,January,350,
1/2/2023 9:50,Morning,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30766,1,150,150,Monday,January,55,
1/2/2023 9:54,Morning,EMGYL TABLET 200MG,ANTIBIOTICS,30767,1,50,50,Monday,January,23,
1/2/2023 9:54,Morning,EMGYL TABLET 400MG,ANTIBIOTICS,30767,1,100,100,Monday,January,30,
1/2/2023 9:54,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30767,1,100,100,Monday,January,26,
1/2/2023 9:54,Morning,NEOFYLIN COUGH SYRUP,"COUGH,COLD & THROAT",30767,1,500,500,Monday,January,155,
1/2/2023 9:54,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30767,1,30,30,Monday,January,10,
1/2/2023 9:56,Morning,COFLIN SYRUP EXPECTORANT,"COUGH,COLD & THROAT",30768,1,350,350,Monday,January,120,
1/2/2023 9:56,Morning,MIXAGRIP COLD CAPLET,"COUGH,COLD & THROAT",30768,2,200,400,Monday,January,140,
1/2/2023 9:56,Morning,LORATADINE AFRAB TABLETS 10MG,ANTIALLERGY,30768,1,100,100,Monday,January,41,
1/2/2023 9:56,Morning,TOM TOM MENTHOL,MINI-MART,30768,2,20,40,Monday,January,22,
1/2/2023 10:33,Morning,CENPAIN NIGHT TABLETS,ANALGESICS,30769,0.5,400,200,Monday,January,60,
1/2/2023 10:33,Morning,DOLO-META B TABLETS,ANALGESICS,30769,1,250,250,Monday,January,67,
1/2/2023 10:33,Morning,CLOFENAC TABLET 50MG,ANALGESICS,30769,1,300,300,Monday,January,116,
1/2/2023 10:37,Morning,PYRANTRIN TABLET,GASTROINTESTINAL,30770,1,450,450,Monday,January,148,
1/2/2023 10:37,Morning,TIGER HEAD BATTERY AA,MINI-MART,30770,1,150,150,Monday,January,67,
1/2/2023 10:37,Morning,EM-VIT-C WHITE BY 1000,SUPPLEMENTS,30770,1,100,100,Monday,January,26,
1/2/2023 10:38,Morning,EM-VIT-C WHITE BY 1000,SUPPLEMENTS,30771,1,100,100,Monday,January,26,
1/2/2023 10:51,Morning,COFLIN SYRUP EXPECTORANT,"COUGH,COLD & THROAT",30772,1,350,350,Monday,January,120,
1/2/2023 10:51,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30772,1,100,100,Monday,January,26,
1/2/2023 10:51,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30772,2,30,60,Monday,January,20,
1/2/2023 10:51,Morning,ROSE PLUS TISSUE 100 BY 120MM,MINI-MART,30772,1,150,150,Monday,January,62,
1/2/2023 10:59,Morning,SAVLON DISINFECTANT 250ML,MINI-MART,30773,1,900,900,Monday,January,200,
1/2/2023 10:59,Morning,COTTON WOOL 100G,SURGICAL DEVICES,30773,1,150,150,Monday,January,70,
1/2/2023 10:59,Morning,PENICILLIN SKIN OINTMENT BY MIM,SKINCARE PRODUCTS,30773,1,300,300,Monday,January,100,
1/2/2023 10:59,Morning,CALCIMAX TABLETS,SUPPLEMENTS,30774,2,150,300,Monday,January,108,
1/2/2023 10:59,Morning,CALCITONE TABLETS BY 100,SUPPLEMENTS,30774,1,400,400,Monday,January,124,
1/2/2023 10:59,Morning,TOTHEMA DRINK,SUPPLEMENTS,30774,2,300,600,Monday,January,276,
1/2/2023 10:59,Morning,IBUCAP  CAPSULES,ANALGESICS,30774,1,200,200,Monday,January,74,
1/2/2023 10:59,Morning,PANADOL EXTRA TABLET,ANALGESICS,30774,1,250,250,Monday,January,73,
1/2/2023 10:59,Morning,DIHYDROCODEINE TAB 30MG,POM,30774,1,650,650,Monday,January,200,
1/2/2023 10:59,Morning,RETRAX TABLETS,GASTROINTESTINAL,30774,1,250,250,Monday,January,80,
1/2/2023 10:59,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30774,3,100,100,Monday,January,40,
1/2/2023 11:00,Morning,OXYTETRACYCLINE CAPSULES 250MG,ANTIBIOTICS,30775,2,250,500,Monday,January,164,
1/2/2023 11:01,Morning,CHLORXY-G GEL,SKINCARE PRODUCTS,30776,1,300,300,Monday,January,100,
1/2/2023 11:11,Morning,YOYO BITTERS CLEANSER,HERBALS,30777,1,"1,200","1,200",Monday,January,355,
1/2/2023 11:11,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30777,1,100,100,Monday,January,26,
1/2/2023 11:15,Morning,COD LIVER OIL CAPSULES 300MG SOFTHEALTH,SUPPLEMENTS,30778,2,250,500,Monday,January,160,
1/2/2023 11:28,Morning,SWIDAR TABLET,ANTIMALARIAL,30779,1,400,400,Monday,January,119,
1/2/2023 11:46,Morning,XASTEN TABLETS 1MG,ANALGESICS,30780,2,50,100,Monday,January,34,
1/2/2023 11:46,Morning,EM-VIT-C ORANGE BY 1000,SUPPLEMENTS,30780,1,100,100,Monday,January,26,
1/2/2023 11:46,Morning,SALBUTAMOL TABLETS 4MG,ASTHMATICS,30781,2,100,200,Monday,January,172,
1/2/2023 12:54,Morning,ORAL-B TOOTHPASTE STRONG TEETH 40G,MINI-MART,30782,1,300,300,Monday,January,67,
1/2/2023 12:54,Morning,DETTOL LIQUID 250ML,MINI-MART,30782,1,"1,800","1,800",Monday,January,433,
1/2/2023 12:54,Morning,MORNING FRESH DISWASHING LIQUID 200ML,MINI-MART,30782,1,400,400,Monday,January,100,
1/2/2023 12:54,Morning,VIJU CHOCOLATE FLAVOR SMALL SIZE,MINI-MART,30782,1,350,350,Monday,January,100,
1/2/2023 13:01,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30783,1,30,30,Monday,January,10,
1/2/2023 13:01,Morning,PRIMPEX TABLETS 480MG 10 BY 10,ANTIBIOTICS,30783,1,150,150,Monday,January,61,
1/2/2023 13:21,Morning,IBUNOVA INBUPROFEN 400MG CAPSULES,ANALGESICS,30784,1,600,600,Monday,January,200,
1/2/2023 13:26,Morning,PET FANTA 50CL,MINI-MART,30785,1,200,200,Monday,January,54,
1/2/2023 13:41,Morning,WIND BLOCK AIR FRESHNER APPLE,MINI-MART,30786,1,200,200,Monday,January,42,
1/2/2023 13:41,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30786,3,100,100,Monday,January,40,
1/2/2023 13:44,Morning,ROPHEGAN SYRUP 60ML,ANTIALLERGY,30787,1,350,350,Monday,January,115,
1/2/2023 13:44,Morning,LOXAGYL SUSPENSION,ANTIBIOTICS,30787,1,400,400,Monday,January,120,
1/2/2023 13:44,Morning,POCCO ORS 6S,GASTROINTESTINAL,30787,1,100,100,Monday,January,31,
1/2/2023 13:51,Morning,LOXAGYL TABLET 400MG,ANTIBIOTICS,30788,1,100,100,Monday,January,22,
1/2/2023 14:09,Morning,PYRANTRIN SUSPENSION,GASTROINTESTINAL,30789,2,750,"1,500",Monday,January,420,
1/2/2023 14:09,Morning,KIDZ & MORE BODY LOTION 400ML,MINI-MART,30789,1,"1,850","1,850",Monday,January,450,
1/2/2023 14:09,Morning,VASELINE BLUESEAL 50ML,MINI-MART,30789,1,400,400,Monday,January,92,
1/2/2023 14:09,Morning,MORNING FRESH DISWASHING LIQUID 450ML,MINI-MART,30789,1,600,600,Monday,January,167,
1/2/2023 14:09,Morning,RELOAD KIDZ BY 80,SUPPLEMENTS,30789,1,"10,100","10,100",Monday,January,"2,900",
1/2/2023 14:14,Morning,ABF-3 CREAM,SKINCARE PRODUCTS,30790,1,450,450,Monday,January,160,
1/2/2023 14:14,Morning,FRESHYO YOGHURT 387ML,MINI-MART,30790,1,400,400,Monday,January,100,
1/2/2023 14:14,Morning,LUCOZADE BOOST 125ML,MINI-MART,30790,3,200,600,Monday,January,243,
1/2/2023 14:34,Morning,AMATEM SOFTGEL 20/120 BY 12,ANTIMALARIAL,30791,1,950,950,Monday,January,290,
1/2/2023 14:34,Morning,SOREPILS LOZENGES ORANGE,"COUGH,COLD & THROAT",30791,1,500,500,Monday,January,150,
1/2/2023 14:34,Morning,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30791,1,30,30,Monday,January,10,
1/2/2023 14:39,Morning,VENTOLIN INHALER,ASTHMATICS,30792,1,"1,750","1,750",Monday,January,594,
1/2/2023 14:39,Morning,CENOX TABLETS 500MG BY 14,ANTIBIOTICS,30792,1,"1,000","1,000",Monday,January,324,
1/2/2023 14:39,Morning,LONART DS TABLETS,ANTIMALARIAL,30792,1,"2,250","2,250",Monday,January,690,
1/2/2023 14:39,Morning,PANADOL TABLET,ANALGESICS,30792,1,200,200,Monday,January,57,
1/2/2023 15:11,Morning,SPIRIT QUICK AID 200ML,ANTISEPTICS,30793,1,200,200,Monday,January,90,
1/2/2023 15:11,Morning,TETRACYCLINE CAPSULES,ANTIBIOTICS,30793,1,200,200,Monday,January,79,
1/2/2023 15:39,Morning,FACE MASK,SURGICAL DEVICES,30794,2,50,100,Monday,January,60,
1/2/2023 15:41,Morning,LUCOZADE BOOST REGULAR 450ML,MINI-MART,30795,1,550,550,Monday,January,150,
1/2/2023 15:41,Morning,G-ORAL ORS 3S,GASTROINTESTINAL,30795,1,100,100,Monday,January,32,
1/2/2023 15:41,Morning,TOM TOM MENTHOL,MINI-MART,30795,2,20,40,Monday,January,22,
1/2/2023 16:02,Evening,BENYLIN ORIGINAL 200ML,"COUGH,COLD & THROAT",30796,1,"2,200","2,200",Monday,January,640,
1/2/2023 16:02,Evening,AMOXIL CAPSULES 500MG GSK,ANTIBIOTICS,30796,1,800,800,Monday,January,237,
1/2/2023 16:02,Evening,XYZAL TABLET 5MG,ANTIALLERGY,30796,1,600,600,Monday,January,190,
1/2/2023 16:07,Evening,STREPSILS LOZENGES ORIGINAL,"COUGH,COLD & THROAT",30797,1,"2,100","2,100",Monday,January,630,
1/2/2023 16:07,Evening,XYZAL TABLET 5MG,ANTIALLERGY,30797,1,600,600,Monday,January,190,
1/2/2023 16:07,Evening,BOSKA TABLETS,ANALGESICS,30797,1,250,250,Monday,January,100,
1/2/2023 16:07,Evening,DYNAMOGEN ORAL SOLUTION,SUPPLEMENTS,30798,3,200,600,Monday,January,225,
1/2/2023 16:08,Evening,SHALTOUX LOZENGES,"COUGH,COLD & THROAT",30799,1,30,30,Monday,January,10,
1/2/2023 16:25,Evening,DETTOL BAR SOAP COOL 75G,MINI-MART,30800,3,250,750,Monday,January,201,
1/2/2023 16:45,Evening,OMEGA-H3 CAPSULES,SUPPLEMENTS,30801,1,"1,150","1,150",Monday,January,344,
1/2/2023 16:45,Evening,RELOAD MEN (30),SUPPLEMENTS,30801,1,"5,600","5,600",Monday,January,"1,665",
1/2/2023 16:45,Evening,CAMOSUNATE JUNIOR TABLETS 7-13YEARS,ANTIMALARIAL,30801,1,"1,050","1,050",Monday,January,310,
1/2/2023 16:45,Evening,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30801,1,150,150,Monday,January,55,
1/2/2023 16:45,Evening,IBUPROFEN TABLET 200MG REXIFEN,ANALGESICS,30801,1,150,150,Monday,January,51,
1/2/2023 16:45,Evening,AMOXIL CAPSULES 250MG GSK,ANTIBIOTICS,30801,1,500,500,Monday,January,197,
1/2/2023 17:22,Evening,NIVEA PERFECT AND RADIANT,MINI-MART,30802,1,"2,450","2,450",Monday,January,583,
1/2/2023 17:23,Evening,TOM TOM MENTHOL,MINI-MART,30803,2,20,40,Monday,January,22,
1/2/2023 17:27,Evening,IBUPROFEN TABLET 400MG BRUSTAN-N,ANALGESICS,30804,1,250,250,Monday,January,88,
1/2/2023 17:27,Evening,NUT BAR CHOCOLATE,MINI-MART,30804,2,100,200,Monday,January,92,
1/2/2023 17:27,Evening,EVA WATER 75CL,MINI-MART,30804,1,150,150,Monday,January,67,
1/2/2023 17:27,Evening,PARACETAMOL TABLETS M&B 500MG BY 96,ANALGESICS,30804,1,150,150,Monday,January,55,
1/2/2023 17:27,Evening,MILO SACHET 20G,MINI-MART,30804,1,100,100,Monday,January,40,
1/2/2023 17:27,Evening,PEAK MILK SATCHET 14G,MINI-MART,30804,1,100,100,Monday,January,20,
1/2/2023 17:27,Evening,VIGOS CHOCOLATE,MINI-MART,30804,1,60,60,Monday,January,16,
1/2/2023 17:36,Evening,MOLPED ULTRA SOFT SANITARY PAD,MINI-MART,30805,1,480,480,Monday,January,113,
1/2/2023 17:37,Evening,PENICILLIN SKIN OINTMENT BY MIM,SKINCARE PRODUCTS,30806,1,300,300,Monday,January,100,
1/2/2023 17:37,Evening,MENTOS MINT LONG,MINI-MART,30806,1,150,150,Monday,January,40,
1/2/2023 18:05,Evening,XYZAL TABLET 5MG,ANTIALLERGY,30807,1,600,600,Monday,January,190,
1/2/2023 18:05,Evening,PREDNISOLONE TABLET PERILON,ANALGESICS,30807,1,250,250,Monday,January,94,
1/2/2023 18:05,Evening,HYDROCORTISONE CREAM 15GM DGF,SKINCARE PRODUCTS,30807,1,700,700,Monday,January,235,
1/2/2023 18:07,Evening,EMGYL TABLET 400MG,ANTIBIOTICS,30808,2,100,200,Monday,January,60,
1/2/2023 18:07,Evening,WORMPLAN TABLET 400MG,GASTROINTESTINAL,30808,3,100,300,Monday,January,144,
1/2/2023 18:34,Evening,COCORUN CHOCOLATE,MINI-MART,30809,1,100,100,Monday,January,38,
1/2/2023 18:43,Evening,VITAMIN K TABLET BY 100,SUPPLEMENTS,30810,10,10,100,Monday,January,20,
1/2/2023 18:43,Evening,CAPRI-SUN DRINK 200ML,MINI-MART,30810,2,250,500,Monday,January,166,
1/2/2023 18:43,Evening,FULLBAR CHOCOLATE,MINI-MART,30810,1,300,300,Monday,January,71,
